bill_number,bill_name,year,type,category,ministry,introduced_in,introduced_by,introduced_date,passed_ls_date,passed_rs_date,assented_date,status,committee_referred,committee_report_date,act_no,act_year,introduced_file,report_file,gazette_file 
C,"The Private Universities (Prevention of Sale of Degrees) Bill, 2024",2024,Private Member,Ordinary Bill,EDUCATION,Rajya Sabha,Imran Pratapgarhi Shri,2025-02-07,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/39e214202551014PM.pdf?source=legislation,,
VIII,"The Digital Health Records (Mandatory Use) Bill, 2025",2025,Private Member,Financial Bill,HEALTH AND FAMILY WELFARE,Rajya Sabha,Shaktisinh Gohil Shri,2025-02-07,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/46e214202551214PM.pdf?source=legislation,,
VII,"The Medicines and Medical Devices (Price Control and Accessibility) Bill, 2025",2025,Private Member,Financial Bill,CHEMICALS AND FERTILIZERS,Rajya Sabha,Shaktisinh Gohil Shri,2025-02-07,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/45e214202551159PM.pdf?source=legislation,,
VI,"The Sustainable Fashion (Promotion and Regulation) Bill, 2025",2025,Private Member,Financial Bill,TEXTILES,Rajya Sabha,Sujeet Kumar Shri,2025-02-07,,,,Removed,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/47e214202551230PM.pdf?source=legislation,,
III,"The Viral Hepatitis (Prevention and Control) Bill, 2025",2025,Private Member,Financial Bill,HEALTH AND FAMILY WELFARE,Rajya Sabha,Sujeet Kumar Shri,2025-02-07,,,,Removed,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/49e214202551308PM.pdf?source=legislation,,
I,The Constitution (Amendment) Bill 2025 (amendment of article 293),2025,Private Member,Constitutional Amendment Bill,FINANCE,Rajya Sabha,A. D. Singh Shri,2025-02-07,,,,Removed,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/33e214202550813PM.pdf?source=legislation,,
15,"THE âTRIBHUVANâ SAHKARI UNIVERSITY BILL, 2025",2025,Government,Financial Bill,Co-operation,Lok Sabha,,2025-02-03,2025-03-26,2025-04-01,03/04/2025,Assented,,,11,2025,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/tribhuvan eng232025123628PM.pdf?source=legislation,,
15,"THE âTRIBHUVANâ SAHKARI UNIVERSITY BILL, 2025",2025,Government,Financial Bill,Co-operation,Lok Sabha,,2025-02-03,2025-03-26,2025-04-01,03/04/2025,Passed,,,11,2025,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/tribhuvan eng232025123628PM.pdf?source=legislation,,
14,"The Finance Bill, 2025",2025,Government,Money Bill,FINANCE,Lok Sabha,,2025-02-01,2025-03-25,2025-03-27,29/03/2025,Assented,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/English_FinanceBill21202510225PM.pdf?source=legislation,,
276,"THE UNION TERRITORIES LAWS (AMENDMENT) BILL, 2024",2024,Government,Ordinary Bill,LAW AND JUSTICE,Lok Sabha,,2024-12-17,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/ut1217202425100PM.pdf?source=legislation,,
275,"THE CONSTITUTION (ONE HUNDRED AND TWENTY-NINTH AMENDMENT) BILL, 2024",2024,Government,Constitutional Amendment Bill,LAW AND JUSTICE,Lok Sabha,,2024-12-17,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/const amdt1217202425225PM.pdf?source=legislation,,
274,"THE APPROPRIATION (No. 3) BILL, 2024",2024,Government,Money Bill,FINANCE,Lok Sabha,,2024-12-17,2024-12-17,,04/01/2025,Assented,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/Appropriation 31217202483925PM.pdf?source=legislation,,
183,"THE MERCHANT SHIPPING BILL, 2024",2024,Government,Financial Bill,"PORTS, SHIPPING AND WATERWAYS",Lok Sabha,,2024-12-10,2025-08-06,2025-08-11,18/08/2025,Assented,,,24,2025,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/merchant eng12102024122449PM.pdf?source=legislation,,
183,"THE MERCHANT SHIPPING BILL, 2024",2024,Government,Financial Bill,"PORTS, SHIPPING AND WATERWAYS",Lok Sabha,,2024-12-10,2025-08-06,2025-08-11,18/08/2025,Passed,,,24,2025,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/merchant eng12102024122449PM.pdf?source=legislation,,
177,"THE COASTAL SHIPPING BILL, 2024",2024,Government,Financial Bill,"PORTS, SHIPPING AND WATERWAYS",Lok Sabha,,2024-12-02,2025-04-03,2025-08-07,09/08/2025,Assented,,,20,2025,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/coastal eng1222024123753PM.pdf?source=legislation,,
177,"THE COASTAL SHIPPING BILL, 2024",2024,Government,Financial Bill,"PORTS, SHIPPING AND WATERWAYS",Lok Sabha,,2024-12-02,2025-04-03,2025-08-07,09/08/2025,Passed,,,20,2025,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/coastal eng1222024123753PM.pdf?source=legislation,,
99,"The Constitution (Amendment) Bill, 2024 (Amendment of article 58).",2024,Private Member,Ordinary Bill,LAW AND JUSTICE,Lok Sabha,P P Chaudhary Shri,2024-08-09,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/99 of 2024 AS89202451002PM.pdf?source=legislation,,
97,"The High Court of Kerala (Establishment of a Permanent Bench at Palakkad) Bill, 2024.",2024,Private Member,Ordinary Bill,LAW AND JUSTICE,Lok Sabha,V K Sreekandan Shri,2024-08-09,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/97 of 2024 AS89202445522PM.pdf?source=legislation,,
95,"The Ban on Entrance Examination in Professional Courses Bill, 2024.",2024,Private Member,Ordinary Bill,EDUCATION,Lok Sabha,Navaskani K Shri,2024-08-09,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/95 of 2024 AS89202445442PM.pdf?source=legislation,,
94,"The Constitution (Amendment) Bill, 2024 (Amendment of the Seventh Schedule).",2024,Private Member,Ordinary Bill,AGRICULTURE & FARMERS WELFARE,Lok Sabha,P P Chaudhary Shri,2024-08-09,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/94 of 2024 AS89202450937PM.pdf?source=legislation,,
92,"The National Youth Commission Bill, 2024.",2024,Private Member,Financial Bill,YOUTH AFFAIRS AND SPORTS,Lok Sabha,Smita Uday Wagh Smt.,2024-08-09,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/92 of 2024 AS89202445608PM.pdf?source=legislation,,
91,"The Mahatma Gandhi National Rural Employment Guarantee (Amendment) Bill, 2024 (Amendment of section 3 and Schedule II).",2024,Private Member,Financial Bill,RURAL DEVELOPMENT,Lok Sabha,N K Premachandran Shri,2024-08-09,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/91 of 2024 AS89202445159PM.pdf?source=legislation,,
90,"The Promotion of Organic Farming Bill, 2024.",2024,Private Member,Financial Bill,AGRICULTURE & FARMERS WELFARE,Lok Sabha,Rajkumar Chahar Shri,2024-08-09,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/90 of 2024 AS89202445603PM.pdf?source=legislation,,
89,"The Orphans (Reservation of Posts in Government Establishments and Welfare) Bill, 2024.",2024,Private Member,Financial Bill,WOMEN AND CHILD DEVELOPMENT,Lok Sabha,Janardan Singh Sigriwal Shri,2024-08-09,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/89 of 2024 AS89202445350PM.pdf?source=legislation,,
88,"The Food Safety and Standards (Amendment) Bill, 2024 (Amendment of section 3,etc.).",2024,Private Member,Financial Bill,HEALTH AND FAMILY WELFARE,Lok Sabha,D M Kathir Anand Thiru,2024-08-09,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/88 of 2024 AS89202445843PM.pdf?source=legislation,,
87,"The Visual Representation of Income Tax Collections Bill, 2024.",2024,Private Member,Financial Bill,FINANCE,Lok Sabha,Shrirang Appa Chandu Barne Shri,2024-08-09,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/87 of 2024 AS89202445545PM.pdf?source=legislation,,
86,"The Constitution (Amendment) Bill, 2024 (Amendment of article 80, etc.).",2024,Private Member,Financial Bill,HOME AFFAIRS,Lok Sabha,Manish Tewari Shri,2024-08-09,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/86 of 2024 AS89202445513PM.pdf?source=legislation,,
85,"The Constitution (Amendment) Bill, 2024 (Amendment of the Seventh Schedule).",2024,Private Member,Ordinary Bill,WATER RESOURCES,Lok Sabha,P P Chaudhary Shri,2024-08-09,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/85 of 2024 AS89202451021PM.pdf?source=legislation,,
84,"The Rural Labour Welfare Fund Bill, 2024.",2024,Private Member,Financial Bill,LABOUR  AND  EMPLOYMENT,Lok Sabha,Janardan Singh Sigriwal Shri,2024-08-09,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/84 of 2024 AS89202445415PM.pdf?source=legislation,,
83,"The All India Institutes of Medical Sciences (Amendment) Bill, 2024 (Insertion of new section 3A).",2024,Private Member,Financial Bill,HEALTH AND FAMILY WELFARE,Lok Sabha,V K Sreekandan Shri,2024-08-09,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/83 of 2024 AS89202445253PM.pdf?source=legislation,,
82,"The Special Financial Assistance for Ancient Monuments and Archaeological Sites and Remains in the State of Tamil Nadu Bill, 2024.",2024,Private Member,Financial Bill,FINANCE,Lok Sabha,D M Kathir Anand Thiru,2024-08-09,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/82 of 2024 AS89202445811PM.pdf?source=legislation,,
81,"The Solid Waste Management Bill, 2024.",2024,Private Member,Financial Bill,ENVIRONMENT AND FORESTS,Lok Sabha,T Sumathy Alias Thamizhachi Thangapandian Dr.,2024-08-09,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/81 of 2024 AS89202445624PM.pdf?source=legislation,,
80,"The Compulsory Military Training in Schools and Other Educational Institutions Bill, 2024.",2024,Private Member,Financial Bill,EDUCATION,Lok Sabha,Shrirang Appa Chandu Barne Shri,2024-08-09,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/80 of 2024 AS89202445526PM.pdf?source=legislation,,
79,"The Air (Prevention and Control of Pollution) Amendment Bill, 2024 (Amendment of section 2, etc.).",2024,Private Member,Financial Bill,ENVIRONMENT AND FORESTS,Lok Sabha,Hibi Eden Shri,2024-08-09,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/79 of 2024 AS89202445838PM.pdf?source=legislation,,
78,"The Intelligence Services (Powers and Regulation) Bill, 2024.",2024,Private Member,Financial Bill,HOME AFFAIRS,Lok Sabha,Manish Tewari Shri,2024-08-09,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/78 of 2024 AS89202454426PM.pdf?source=legislation,,
76,"The Compulsory Teaching of Sanskrit Language in Schools Bill, 2024.",2024,Private Member,Financial Bill,EDUCATION,Lok Sabha,Smita Uday Wagh Smt.,2024-08-09,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/76 of 2024 AS89202445630PM.pdf?source=legislation,,
72,"The Anganwadi Workers (Regularisation of Service and Welfare) Bill, 2024.",2024,Private Member,Financial Bill,WOMEN AND CHILD DEVELOPMENT,Lok Sabha,N K Premachandran Shri,2024-08-09,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/72 of 2024 AS89202445338PM.pdf?source=legislation,,
71,"The Micro, Small and Medium Enterprises Development (Amendment) Bill, 2024 (Insertion of new sections 10A and 10B).",2024,Private Member,Ordinary Bill,"MICRO, SMALL AND MEDIUM ENTERPRISES",Lok Sabha,D M Kathir Anand Thiru,2024-08-09,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/71 of 2024 AS89202445901PM.pdf?source=legislation,,
70,"The Play Schools (Regulation) Bill, 2024.",2024,Private Member,Financial Bill,EDUCATION,Lok Sabha,Janardan Singh Sigriwal Shri,2024-08-09,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/70 of 2024 AS89202445317PM.pdf?source=legislation,,
69,"The Mahatma Gandhi National Rural Employment Guarantee (Amendment) Bill, 2024 (Insertion of new section 5A, etc.).",2024,Private Member,Ordinary Bill,RURAL DEVELOPMENT,Lok Sabha,Hibi Eden Shri,2024-08-09,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/69 of 2024 AS89202445629PM.pdf?source=legislation,,
68,"The Glucotest Strips (Regulation and Price Control) Bill, 2024.",2024,Private Member,Financial Bill,HEALTH AND FAMILY WELFARE,Lok Sabha,Shrirang Appa Chandu Barne Shri,2024-08-09,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/68 of 2024 AS89202445605PM.pdf?source=legislation,,
67,"The Constitution (Amendment) Bill, 2024 (Amendment of article 324, etc.).",2024,Private Member,Ordinary Bill,LAW AND JUSTICE,Lok Sabha,Manish Tewari Shri,2024-08-09,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/67 of 2024 AS89202445533PM.pdf?source=legislation,,
64,"The ASHA Workers (Regularisation of Service and Other Benefits) Bill, 2024.",2024,Private Member,Financial Bill,HEALTH AND FAMILY WELFARE,Lok Sabha,N K Premachandran Shri,2024-08-09,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/64 OF 2024 AS89202445317PM.pdf?source=legislation,,
59,"The Special Financial Assistance to the State of Tamil Nadu Bill, 2024.",2024,Private Member,Financial Bill,FINANCE,Lok Sabha,T Sumathy Alias Thamizhachi Thangapandian Dr.,2024-08-09,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/59 OF 2024 AS89202451058PM.pdf?source=legislation,,
52,"The Overseas Workers (Welfare) Bill, 2024.",2024,Private Member,Financial Bill,EXTERNAL AFFAIRS,Lok Sabha,Navaskani K Shri,2024-08-09,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/52 OF 2024 AS89202445501PM.pdf?source=legislation,,
113,"THE RAILWAYS (AMENDMENT) BILL, 2024",2024,Government,Financial Bill,RAILWAYS,Lok Sabha,,2024-08-09,2024-12-11,2025-03-10,29/03/2025,Assented,,,9,2025,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/AS INTRO-2892024123726PM.pdf?source=legislation,,
112,"THE CARRIAGE OF GOODS BY SEA BILL, 2024",2024,Government,Ordinary Bill,SHIPPING,Lok Sabha,,2024-08-09,2025-03-28,2025-08-06,08/08/2025,Assented,,,19,2025,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/As INTRO89202434335PM.pdf?source=legislation,,
112,"THE CARRIAGE OF GOODS BY SEA BILL, 2024",2024,Government,Ordinary Bill,SHIPPING,Lok Sabha,,2024-08-09,2025-03-28,2025-08-06,08/08/2025,Passed,,,19,2025,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/As INTRO89202434335PM.pdf?source=legislation,,
111,"THE BILLS OF LADING BILL, 2025",2024,Government,Ordinary Bill,SHIPPING,Lok Sabha,,2024-08-09,2025-03-10,2025-07-21,24/07/2025,Assented,,,18,2025,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/AS INTRO892024125642PM.pdf?source=legislation,,
111,"THE BILLS OF LADING BILL, 2025",2024,Government,Ordinary Bill,SHIPPING,Lok Sabha,,2024-08-09,2025-03-10,2025-07-21,24/07/2025,Passed,,,18,2025,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/AS INTRO892024125642PM.pdf?source=legislation,,
110,"THE BANKING LAWS (AMENDMENT) BILL, 2024",2024,Government,Ordinary Bill,FINANCE,Lok Sabha,,2024-08-09,2024-12-03,2025-03-26,15/04/2025,Assented,,,16,2025,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/banking89202450403PM.pdf?source=legislation,,
106,"The Andhra Pradesh Reorganisation (Amendment) Bill, 2024 (Insertion of new section 90A).",2024,Private Member,Financial Bill,JAL SHAKTI,Lok Sabha,Maddila Gurumoorthy Shri,2024-08-09,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/106 of 2024 AS89202445650PM.pdf?source=legislation,,
105,"The Quality Education (Enhancing Through Internship) Bill, 2024.",2024,Private Member,Financial Bill,EDUCATION,Lok Sabha,Praniti Sushilkumar Shinde Ms.,2024-08-09,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/105 of 2024 AS89202445419PM.pdf?source=legislation,,
102,"The Victims of Natural Lightning Disaster (Compensation) Bill, 2024.",2024,Private Member,Financial Bill,HOME AFFAIRS,Lok Sabha,V K Sreekandan Shri,2024-08-09,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/102 of 2024 AS89202445547PM.pdf?source=legislation,,
101,"The Airlines Passenger Services Authority Bill, 2024.",2024,Private Member,Financial Bill,CIVIL AVIATION,Lok Sabha,Hibi Eden Shri,2024-08-09,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/101 of 2024 AS89202445909PM.pdf?source=legislation,,
100,"The Backward Areas Development Board Bill, 2024.",2024,Private Member,Financial Bill,PLANNING,Lok Sabha,Navaskani K Shri,2024-08-09,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/100 of 2024 AS89202445359PM.pdf?source=legislation,,
LIV,"The Boilers Bill, 2024",2024,Government,Ordinary Bill,COMMERCE AND INDUSTRY,Rajya Sabha,,2024-08-08,2025-03-25,2024-12-04,04/04/2025,Assented,,,12,2025,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/Boilers bill-E88202482635PM.pdf?source=legislation,,
LIV,"The Boilers Bill, 2024",2024,Government,Ordinary Bill,COMMERCE AND INDUSTRY,Rajya Sabha,,2024-08-08,2025-03-25,2024-12-04,04/04/2025,Passed,,,12,2025,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/Boilers bill-E88202482635PM.pdf?source=legislation,,
109,"THE WAQF (AMENDMENT) BILL, 2025",2024,Government,Ordinary Bill,MINORITY AFFAIRS,Lok Sabha,,2024-08-08,2025-04-03,2025-04-04,05/04/2025,Assented,,,14,2025,"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/THE WAQF (AMENDMENT) BILL, 202488202441731PM.pdf?source=legislation",,
109,"THE WAQF (AMENDMENT) BILL, 2025",2024,Government,Ordinary Bill,MINORITY AFFAIRS,Lok Sabha,,2024-08-08,2025-04-03,2025-04-04,05/04/2025,Passed,,,14,2025,"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/THE WAQF (AMENDMENT) BILL, 202488202441731PM.pdf?source=legislation",,
108,"THE MUSSALMAN WAKF (REPEAL) BILL, 2025",2024,Government,Ordinary Bill,MINORITY AFFAIRS,Lok Sabha,,2024-08-08,,2025-04-04,05/04/2025,Assented,,,15,2025,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/MUSSALMAN WAKF 202488202435239PM.pdf?source=legislation,,
108,"THE MUSSALMAN WAKF (REPEAL) BILL, 2025",2024,Government,Ordinary Bill,MINORITY AFFAIRS,Lok Sabha,,2024-08-08,,2025-04-04,05/04/2025,Passed,,,15,2025,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/MUSSALMAN WAKF 202488202435239PM.pdf?source=legislation,,
LII,"The Oilfields (Regulation and Development) Amendment Bill, 2024",2024,Government,Ordinary Bill,PETROLEUM  AND  NATURAL  GAS,Rajya Sabha,,2024-08-05,2025-03-12,2024-12-03,28/03/2025,Assented,,,6,2025,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/oilfileds-E85202424318PM.pdf?source=legislation,,
LII,"The Oilfields (Regulation and Development) Amendment Bill, 2024",2024,Government,Ordinary Bill,PETROLEUM  AND  NATURAL  GAS,Rajya Sabha,,2024-08-05,2025-03-12,2024-12-03,28/03/2025,Passed,,,6,2025,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/oilfileds-E85202424318PM.pdf?source=legislation,,
75,"THE APPROPRIATION (No. 2) BILL, 2024",2024,Government,Money Bill,FINANCE,Lok Sabha,,2024-08-05,2024-08-05,2024-08-08,14/08/2024,Assented,,,14,2024,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/bill no-75 EV85202462524PM.pdf?source=legislation,,
75,"THE APPROPRIATION (No. 2) BILL, 2024",2024,Government,Money Bill,FINANCE,Lok Sabha,,2024-08-05,2024-08-05,2024-08-08,14/08/2024,Passed,,,14,2024,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/bill no-75 EV85202462524PM.pdf?source=legislation,,
104,"THE READJUSTMENT OF REPRESENTATION OF SCHEDULED TRIBES IN ASSEMBLY CONSTITUENCIES OF THE STATE OF GOA BILL, 2024",2024,Government,Ordinary Bill,LAW AND JUSTICE,Lok Sabha,,2024-08-05,2025-08-05,2025-08-11,13/08/2025,Assented,,,21,2025,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/goa852024124017PM.pdf?source=legislation,,
104,"THE READJUSTMENT OF REPRESENTATION OF SCHEDULED TRIBES IN ASSEMBLY CONSTITUENCIES OF THE STATE OF GOA BILL, 2024",2024,Government,Ordinary Bill,LAW AND JUSTICE,Lok Sabha,,2024-08-05,2025-08-05,2025-08-11,13/08/2025,Passed,,,21,2025,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/goa852024124017PM.pdf?source=legislation,,
98,"THE DISASTER MANAGEMENT (AMENDMENT) BILL, 2024",2024,Government,Financial Bill,HOME AFFAIRS,Lok Sabha,,2024-08-01,2024-12-12,2025-03-25,29/03/2025,Assented,,,10,2025,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/disaster812024123302PM.pdf?source=legislation,,
74,"THE BHARATIYA VAYUYAN VIDHEYAK, 2024",2024,Government,Financial Bill,CIVIL AVIATION,Lok Sabha,,2024-07-31,2024-08-09,2024-12-05,11/12/2024,Assented,,,16,2024,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/vayu yan latest812024121353PM.pdf?source=legislation,,
66,"The Jammu and Kashmir Appropriation (No.3) Bill, 2024",2024,Government,Money Bill,FINANCE,Lok Sabha,,2024-07-30,2024-07-30,2024-08-08,13/08/2024,Assented,,,13,2024,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/66_LS_2024_H730202463101PM.pdf?source=legislation,,
XXXIX,"The Representation of the People (Amendment) Bill, 2022",2022,Private Member,Ordinary Bill,LAW AND JUSTICE,Rajya Sabha,Iranna Kadadi Shri,2024-07-26,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/1_RoP_Iranna-E731202480627PM.pdf?source=legislation,,
XLI,"The Constitution (Amendment) Bill, 2022 (insertion of new article 21B)",2022,Private Member,Constitutional Amendment Bill,JAL SHAKTI,Rajya Sabha,Iranna Kadadi Shri,2024-07-26,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/2-Const amend21B_iranna-E731202480653PM.pdf?source=legislation,,
LVI,"The Right of Children to Free, Compulsory and Quality Education (Amendment) Bill, 2023",2023,Private Member,Ordinary Bill,EDUCATION,Rajya Sabha,Iranna Kadadi Shri,2024-07-26,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/3-Right of Children_Iranna-E731202481405PM.pdf?source=legislation,,
XXXV,"The National Artificial Intelligence Technology Regulatory Authority Bill, 2024.",2024,Private Member,Financial Bill,ELECTRONICS AND INFORMATION TECHNOLOGY,Rajya Sabha,Sandosh Kumar P Shri,2024-07-26,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/18-AI_Sandosh-E731202483720PM.pdf?source=legislation,,
XXXIV,"The National Commission for the Preservation of Endangered Languages Bill, 2024.",2024,Private Member,Financial Bill,EDUCATION,Rajya Sabha,Sandosh Kumar P Shri,2024-07-26,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/17-Endangered Languages-E731202483658PM.pdf?source=legislation,,
XXXIII,"The Protection of Rights of Persons Affected by Natural Disaster Bill, 2024.",2024,Private Member,Financial Bill,HOME AFFAIRS,Rajya Sabha,V. Sivadasan Dr.,2024-07-26,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/13-Natural Disaster_Sivadasan-E731202483334PM.pdf?source=legislation,,
XXXII,"The Citizenship (Amendment) Bill, 2024",2024,Private Member,Ordinary Bill,HOME AFFAIRS,Rajya Sabha,Sandosh Kumar P Shri,2024-07-26,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/16-Citizenship-E731202483628PM.pdf?source=legislation,,
XXXI,"The Right to Old Age Care Bill, 2024",2024,Private Member,Financial Bill,SOCIAL JUSTICE AND EMPOWERMENT,Rajya Sabha,V. Sivadasan Dr.,2024-07-26,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/12-Old-Age-Sivadasan-E731202483255PM.pdf?source=legislation,,
XXX,"The Constitution (Amendment) Bill, 2024 (amendment of articles 124, 148, 319 and 324 and insertion of new articles 220A and 309A)",2024,Private Member,Constitutional Amendment Bill,LAW AND JUSTICE,Rajya Sabha,A. D. Singh Shri,2024-07-26,,,,Removed,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/9-const-article 124  A Dsingh-E731202483024PM.pdf?source=legislation,,
XXVIII,"The Traditional Handloom Silk Weavers (Protection and Welfare) Bill, 2024.",2024,Private Member,Financial Bill,TEXTILES,Rajya Sabha,A. D. Singh Shri,2024-07-26,,,,Removed,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/silk weavers-Eng-Shri AD Singh816202424838PM.pdf?source=legislation,,
XXVII,"The Bharatiya Nyaya Sanhita (Amendment) Bill, 2024.",2024,Private Member,Ordinary Bill,HOME AFFAIRS,Rajya Sabha,A. D. Singh Shri,2024-07-26,,,,Removed,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/7-BNS_AD SIngh-E731202482858PM.pdf?source=legislation,,
XXVI,"The University Grants Commission (Amendment) Bill, 2024.",2024,Private Member,Ordinary Bill,EDUCATION,Rajya Sabha,John Brittas Dr.,2024-07-26,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/15-UGC_Brittas-E731202483556PM.pdf?source=legislation,,
